sentence 	 label
undo	1
what is the correct move	2
queen to g8	0
bishop to h3	0
takeback	1
what is the best move	2
bishop to e3	0
what was the best move	2
what was the correct move	2
king f4 to b5	0
what should I do here	2
revert	1
king f4 to e4	0
rook to g3	0
knight f5 to g3	0
rook a7 to b8	0
f2 to e4	0
king to c6	0
what is the correct move here	2
king g8 to b7	0
what is the correct move here	2
bishop h5 to h2	0
g5 to e8	0
d1 to c8	0
what is the best move here	2
knight to b1	0
c4 to c7	0
king h1 to f6	0
what is the correct move here	2
rook to d4	0
what was the best move	2
g7 to e3	0
g8 to c4	0
bishop b4 to c1	0
revert	1
h1 to a7	0
b5 to f1	0
pawn a2 to e7	0
what is the best move here	2
h8 to g2	0
rook f6 to b2	0
knight to g1	0
g1 to h2	0
rook h3 to g2	0
b7 to h1	0
undo	1
what is the correct move	2
undo	1
undo	1
queen to e7	0
takeback	1
undo	1
knight to h5	0
pawn a3 to g6	0
d4 to e6	0
what move should I have made	2
what is the correct move	2
knight to b3	0
undo	1
knight f6 to a8	0
best move	2
undo	1
knight to c1	0
what move should I have made	2
what is the best move	2
pawn a8 to f2	0
queen a2 to f6	0
best move	2
what move should I have made	2
correct move	2
knight to f3	0
bishop b4 to d7	0
pawn g6 to d1	0
c1 to b5	0
takeback	1
what is the best move here	2
e3 to a6	0
takeback	1
queen to b5	0
bishop to d3	0
takeback	1
pawn to f1	0
king to g6	0
b5 to g4	0
what was the best move	2
what should I do here	2
d8 to c8	0
bishop h6 to f4	0
knight to e3	0
a5 to e6	0
what is a good move herewhat is the winning move here	2
rook to e4	0
rook to a5	0
takeback	1
knight to g3	0
pawn g5 to a1	0
king a8 to e6	0
bishop c3 to b4	0
queen to e5	0
correct move	2
what was the correct move	2
takeback	1
what is the correct move	2
bishop to d8	0
e2 to c5	0
bishop g8 to g1	0
a3 to g8	0
pawn to g6	0
takeback	1
revert	1
takeback	1
what is the correct move here	2
queen a7 to d5	0
rook f3 to f3	0
what was the best move	2
c1 to c1	0
f5 to g6	0
pawn to g8	0
g2 to b3	0
takeback	1
f6 to a2	0
queen to b1	0
what was the correct move	2
rook to e7	0
knight to f8	0
pawn to d8	0
queen f5 to e6	0
bishop to f8	0
bishop to b6	0
d8 to a6	0
b2 to e6	0
what was the best move	2
bishop to a8	0
correct move	2
knight g1 to g7	0
d1 to g7	0
best move	2
what is the correct move here	2
knight to d8	0
what is the best move here	2
takeback	1
revert	1
knight d4 to b6	0
e6 to d7	0
king to h3	0
rook to h8	0
knight e7 to h2	0
what was the best move	2
revert	1
h4 to h8	0
revert	1
what is a good move herewhat is the winning move here	2
what is the best move	2
bishop to f8	0
revert	1
best move	2
rook g6 to e5	0
queen to f2	0
rook f3 to b4	0
takeback	1
revert	1
what is the correct move	2
c6 to b5	0
best move	2
king to a5	0
knight to f4	0
takeback	1
bishop f5 to a6	0
f6 to d1	0
knight c3 to d7	0
what is the best move here	2
what is a good move herewhat is the winning move here	2
king to f4	0
what is the best move here	2
d3 to f6	0
knight to e7	0
undo	1
what was the correct move	2
correct move	2
what was the correct move	2
queen to g4	0
h1 to f6	0
d8 to b8	0
revert	1
e4 to c2	0
undo	1
revert	1
rook to g3	0
takeback	1
what was the correct move	2
what is a good move herewhat is the winning move here	2
a4 to c1	0
b1 to h2	0
queen to g4	0
b4 to d4	0
pawn to g5	0
e3 to a6	0
undo	1
undo	1
d2 to d2	0
what is the best move	2
pawn to f8	0
what was the correct move	2
what was the correct move	2
c8 to a7	0
knight g6 to f2	0
f4 to h2	0
a8 to f5	0
king to d5	0
rook to a2	0
what is a good move herewhat is the winning move here	2
pawn to f7	0
king g2 to e5	0
what is the best move	2
what should I have done	2
f8 to g1	0
takeback	1
e1 to c6	0
what is the correct move	2
d7 to h8	0
undo	1
what is the correct move	2
undo	1
pawn h3 to f6	0
undo	1
queen f5 to b7	0
what should I have done	2
b7 to d4	0
h8 to g8	0
knight d2 to d7	0
pawn to h8	0
what is a good move herewhat is the winning move here	2
b2 to h8	0
f5 to a7	0
what is the best move	2
what is the correct move	2
king to a6	0
king to h3	0
king h1 to d7	0
rook e6 to f6	0
queen g1 to e5	0
rook to a6	0
what was the best move	2
king to e8	0
rook c7 to g4	0
rook to f8	0
d1 to c3	0
what was the correct move	2
e5 to b5	0
queen e6 to b4	0
f7 to a2	0
revert	1
revert	1
bishop to g4	0
bishop to d2	0
pawn to h5	0
e5 to a1	0
revert	1
h7 to f1	0
what was the correct move	2
king to c8	0
what was the correct move	2
pawn f7 to f4	0
knight b7 to h1	0
what is the correct move	2
best move	2
bishop f4 to h1	0
e2 to b5	0
what was the best move	2
e1 to h7	0
takeback	1
takeback	1
undo	1
pawn g4 to e8	0
what should I have done	2
pawn f1 to c4	0
c2 to b4	0
takeback	1
undo	1
what is the correct move	2
rook to g2	0
what was the best move	2
c1 to e8	0
what is the best move	2
king to a4	0
pawn c5 to h3	0
c4 to e1	0
h5 to a3	0
queen b2 to c1	0
revert	1
what move should I have made	2
pawn to h8	0
b5 to a8	0
king to g3	0
pawn c8 to f2	0
g2 to b5	0
undo	1
what is a good move herewhat is the winning move here	2
bishop to d1	0
knight g2 to e3	0
g4 to f6	0
what is a good move herewhat is the winning move here	2
h1 to c5	0
undo	1
d2 to b4	0
d5 to e4	0
knight to g2	0
king to b7	0
what is the best move	2
queen b5 to g1	0
knight to b5	0
f8 to d2	0
queen g1 to g2	0
knight f1 to g6	0
correct move	2
what was the correct move	2
bishop to a5	0
g5 to f2	0
e4 to e7	0
pawn a7 to h3	0
revert	1
what is the correct move here	2
rook to b5	0
takeback	1
h2 to b7	0
c6 to a3	0
what should I do here	2
rook to e6	0
bishop to a7	0
what is the best move	2
bishop to a3	0
king to h5	0
what should I do here	2
what is a good move herewhat is the winning move here	2
takeback	1
b2 to a4	0
revert	1
rook c6 to e2	0
a6 to f8	0
what move should I have made	2
queen to f6	0
undo	1
what move should I have made	2
correct move	2
revert	1
what should I do here	2
revert	1
h1 to c3	0
rook b7 to a5	0
queen to a4	0
pawn to h1	0
what move should I have made	2
pawn to d1	0
king to e3	0
h1 to b6	0
undo	1
undo	1
knight to a3	0
king to d1	0
takeback	1
revert	1
pawn e4 to a7	0
knight f6 to d1	0
what should I have done	2
revert	1
what is a good move herewhat is the winning move here	2
b4 to d1	0
pawn f8 to b7	0
b2 to g8	0
undo	1
undo	1
b6 to g4	0
king to f7	0
takeback	1
rook b4 to h4	0
revert	1
rook to b1	0
undo	1
what is the correct move here	2
what is the correct move	2
king g3 to c6	0
what is a good move herewhat is the winning move here	2
knight to c6	0
pawn h5 to b6	0
king a7 to d4	0
h5 to e1	0
pawn g8 to h3	0
a8 to b1	0
queen h3 to h3	0
pawn e4 to d3	0
bishop to e5	0
b2 to h5	0
f4 to d4	0
undo	1
bishop f6 to a7	0
rook to h2	0
rook e8 to b1	0
knight f6 to c8	0
f2 to c2	0
d6 to f4	0
pawn d3 to h3	0
e3 to c4	0
king to g8	0
king f8 to h6	0
undo	1
what should I do here	2
undo	1
bishop to b4	0
revert	1
queen to f4	0
pawn g6 to c4	0
d6 to h4	0
king to b2	0
b6 to c1	0
what should I have done	2
what was the correct move	2
queen b3 to f3	0
a8 to b7	0
takeback	1
d3 to f2	0
what is the best move	2
f2 to c2	0
king to g7	0
knight f8 to g2	0
e1 to a4	0
knight b8 to h5	0
queen to d3	0
g7 to c1	0
bishop b7 to g8	0
rook d7 to d5	0
rook to g8	0
what move should I have made	2
revert	1
revert	1
bishop d3 to a7	0
bishop h3 to a8	0
undo	1
revert	1
pawn to h2	0
king to h6	0
bishop to h5	0
a6 to e6	0
pawn to e6	0
best move	2
what is a good move herewhat is the winning move here	2
c2 to d1	0
what is the correct move	2
rook to c6	0
a1 to d3	0
c2 to c1	0
pawn g2 to g8	0
king e8 to d6	0
takeback	1
b2 to c8	0
pawn to e3	0
rook to a8	0
bishop to g1	0
rook to a6	0
king b7 to e6	0
h7 to g6	0
pawn b8 to c7	0
c6 to g6	0
takeback	1
undo	1
takeback	1
what is the correct move	2
bishop f5 to e5	0
knight g7 to h4	0
e6 to b5	0
e6 to a2	0
takeback	1
knight d4 to f3	0
what is a good move herewhat is the winning move here	2
what should I do here	2
king to a7	0
what is the correct move here	2
what is the best move here	2
knight b1 to g3	0
undo	1
d7 to h2	0
revert	1
what is a good move herewhat is the winning move here	2
b5 to d2	0
h3 to a6	0
best move	2
h8 to d3	0
f4 to a1	0
king to a3	0
bishop d3 to a7	0
takeback	1
f8 to e3	0
pawn to a6	0
f3 to f3	0
c2 to f4	0
g8 to a1	0
queen f6 to a7	0
undo	1
undo	1
e5 to g2	0
king e7 to b2	0
rook b5 to a8	0
takeback	1
bishop to h7	0
what was the correct move	2
what is a good move herewhat is the winning move here	2
pawn g6 to g4	0
rook to a1	0
undo	1
what is the correct move here	2
d7 to h8	0
queen a3 to a2	0
f4 to b3	0
pawn to b6	0
best move	2
what is a good move herewhat is the winning move here	2
b7 to d8	0
what is a good move herewhat is the winning move here	2
g1 to e3	0
undo	1
g4 to b1	0
king c7 to c7	0
c6 to g3	0
b1 to b3	0
what move should I have made	2
king b4 to h1	0
b5 to h4	0
takeback	1
undo	1
best move	2
c3 to g5	0
a7 to h1	0
c8 to c7	0
undo	1
best move	2
a2 to a7	0
what should I have done	2
pawn to c8	0
king b2 to d7	0
h1 to e6	0
b3 to c7	0
undo	1
e1 to f4	0
revert	1
bishop to d8	0
bishop b6 to f8	0
king c5 to a7	0
takeback	1
bishop h6 to f6	0
what was the correct move	2
f7 to a8	0
queen to f7	0
a2 to d7	0
undo	1
pawn to e5	0
takeback	1
a3 to d7	0
d6 to d7	0
best move	2
b3 to a7	0
what is the correct move here	2
a4 to f6	0
g5 to g4	0
e6 to d2	0
c3 to f3	0
rook to g7	0
bishop e4 to f3	0
bishop to h2	0
what is the correct move	2
bishop g2 to f6	0
e4 to f8	0
rook to c1	0
knight to g6	0
f7 to h7	0
d3 to f7	0
knight to b3	0
what is a good move herewhat is the winning move here	2
king to g2	0
correct move	2
undo	1
c6 to h3	0
undo	1
revert	1
takeback	1
b5 to f3	0
rook to g3	0
rook c7 to d3	0
pawn e3 to d2	0
king to g2	0
knight f7 to a3	0
rook a5 to g3	0
king to c2	0
knight c4 to g6	0
rook h3 to d8	0
undo	1
rook a8 to e3	0
d8 to e1	0
c3 to f3	0
knight e1 to f4	0
bishop to a4	0
revert	1
what is the best move here	2
bishop e6 to a6	0
g1 to h7	0
knight to g5	0
queen g6 to c5	0
g6 to a5	0
undo	1
undo	1
h6 to h4	0
e5 to e2	0
pawn f4 to d6	0
undo	1
b2 to f6	0
pawn a8 to g1	0
takeback	1
what should I do here	2
takeback	1
queen to e2	0
rook to c2	0
king g3 to c2	0
bishop c2 to d7	0
undo	1
what is the correct move	2
takeback	1
revert	1
f2 to d6	0
rook g7 to a6	0
what is the correct move	2
bishop to b4	0
queen d4 to e4	0
bishop to a5	0
correct move	2
king to h5	0
what is a good move herewhat is the winning move here	2
